,link,duration
0,http://www.youtube.com/watch?v=0IHTNnmRJP8,9
1,http://www.youtube.com/watch?v=skSv_wQt3EU,21
2,http://www.youtube.com/watch?v=KsgAZz-xfXQ,6
3,http://www.youtube.com/watch?v=GyKF9SIfDUM,20
4,http://www.youtube.com/watch?v=ZXGyTCMG3Ck,13
5,http://www.youtube.com/watch?v=1QLXmV6h0s0,16
6,http://www.youtube.com/watch?v=x_RZgdMKfi0,15
7,http://www.youtube.com/watch?v=2oGOVfXOAV8,10
8,http://www.youtube.com/watch?v=QCd1hRSE-IU,7
9,http://www.youtube.com/watch?v=wDSHryyc6qw,14
10,http://www.youtube.com/watch?v=tzDSFqrchBk,22
11,http://www.youtube.com/watch?v=VBYDaSHJr1U,15
12,http://www.youtube.com/watch?v=emZyGZRuS74,12
13,http://www.youtube.com/watch?v=dYsC0G5NQus,11
14,http://www.youtube.com/watch?v=THqFN2ErKgY,14
15,http://www.youtube.com/watch?v=KkCqYQDQP_Q,20
16,http://www.youtube.com/watch?v=K5TTjDJGlik,11
17,http://www.youtube.com/watch?v=sXkDir5CeEM,12
18,http://www.youtube.com/watch?v=kTH9I1aNyBc,10
19,http://www.youtube.com/watch?v=JwTOmT-Jsrw,10
20,http://www.youtube.com/watch?v=vN8HDC0UhsQ,12
21,http://www.youtube.com/watch?v=ymZShiQ53kY,12
22,http://www.youtube.com/watch?v=RXxv16iy3M0,10
23,http://www.youtube.com/watch?v=e5CKAq1QMLw,6
24,http://www.youtube.com/watch?v=d1MZMxQy2rE,12
25,http://www.youtube.com/watch?v=TckW8iqxyG0,17
26,http://www.youtube.com/watch?v=_kc213r2w4I,13
27,http://www.youtube.com/watch?v=qIIsi20wMb4,10
28,http://www.youtube.com/watch?v=HiYXTtARcl4,6
29,http://www.youtube.com/watch?v=ETEhh1Ce2Ng,7
30,http://www.youtube.com/watch?v=v81beCLMGhw,11
31,http://www.youtube.com/watch?v=kp-NA_SoJ9E,15
32,http://www.youtube.com/watch?v=Ai5xwQQd9l0,14
33,http://www.youtube.com/watch?v=ilOE145orvQ,12
